@relation saggedV+AngleChange+NegSeq

@attribute ID numeric
@attribute faultId numeric
@attribute subfaultId numeric
@attribute isfaultedbus numeric
@attribute v_sag_1 numeric
@attribute v_sag_2 numeric
@attribute v_sag_3 numeric
@attribute delta_v numeric
@attribute a_change_1 numeric
@attribute a_change_2 numeric
@attribute a_change_3 numeric
@attribute rel_phase_2_1 numeric
@attribute rel_phase_3_1 numeric
@attribute rel_phase_3_2 numeric
@attribute sub_phase_2_1 numeric
@attribute sub_phase_3_1 numeric
@attribute sub_phase_3_2 numeric
@attribute v_ss_1 numeric
@attribute v_ss_2 numeric
@attribute v_ss_3 numeric
@attribute pos_seq numeric
@attribute zero_seq numeric
@attribute neg_seq numeric
@attribute faultvsnofault {fault, nofault}
@attribute groundvsnoground {ground, noground}
@attribute linevsnoline {line, noline}
@attribute phasevsnophase {phase, nophase}
@attribute class {ground, line, phase, nofault}

@data
0, 99, 0, 1, 0.0271, 0.769, 0.9977, 0.3333, 0.5217, 1.1792, 1.2977, 28.404, 36.8492, 1.2973, 0.742, 0.9706, 0.2287, 543.0169, 541.6192, 541.8343, 316.93, 110.93, 206.31, fault, ground, noline, nophase, ground
1, 96, 0, 1, 0.0049, 0.9994, 1.0042, 0.3317, 0.0183, 0.975, 0.9983, 203.9273, 204.9152, 1.0048, 0.9945, 0.9993, 0.0048, 550.3686, 544.4593, 545.3613, 363.45, 183.98, 180.93, fault, ground, noline, nophase, ground
2, 2, 0, 1, 0.0276, 0.993, 0.9932, 0.3241, 0.0285, 0.9818, 1.0094, 35.9371, 35.9446, 1.0002, 0.9654, 0.9656, 0.0002, 542.8261, 542.3314, 544.6063, 357.11, 179.07, 186.23, fault, ground, noline, nophase, ground
3, 21, 0, 1, 0.0329, 0.9978, 1.0091, 0.3224, 0.9975, 0.9996, 1.0029, 30.3579, 30.7011, 1.0113, 0.965, 0.9763, 0.0113, 548.6732, 545.9267, 546.9889, 371.59, 178.1, 175.47, fault, ground, noline, nophase, ground
4, 25, 0, 1, 0.0497, 1.0765, 1.087, 0.3191, 0.8843, 0.8922, 1.2235, 21.6546, 21.8668, 1.0098, 1.0267, 1.0373, 0.0105, 540.1456, 543.0126, 542.2029, 396.95, 226.16, 145.6, fault, ground, noline, nophase, ground
5, 33, 0, 1, 0.0501, 0.9919, 1.0022, 0.3166, 0.0093, 1.0018, 1.0069, 19.7951, 20.0003, 1.0104, 0.9418, 0.9521, 0.0103, 541.657, 542.6861, 541.5978, 355.84, 181.81, 188.07, fault, ground, noline, nophase, ground
6, 92, 0, 1, 0.0543, 0.9996, 1.0129, 0.3153, 0.5219, 1.0021, 1.4758, 18.4082, 18.6531, 1.0133, 0.9453, 0.9586, 0.0133, 535.1391, 531.4099, 532.2979, 362.1, 174.1, 172.66, fault, ground, noline, nophase, ground
7, 43, 0, 1, 0.0687, 0.9824, 0.9848, 0.3105, 0.9526, 0.9946, 1.0528, 14.2901, 14.3247, 1.0024, 0.9137, 0.916, 0.0024, 541.1339, 541.1609, 541.141, 367.18, 166.3, 163.9, fault, ground, noline, nophase, ground
8, 43, 0, 0, 0.069, 0.9824, 0.9847, 0.3104, 0.953, 0.9948, 1.0521, 14.2425, 14.2759, 1.0023, 0.9134, 0.9157, 0.0023, 541.2226, 541.2698, 541.2482, 367.27, 166.23, 163.93, fault, ground, noline, nophase, ground
9, 26, 0, 1, 0.423, 0.4821, 0.5098, 0.3058, 0.9752, 0.9909, 1.0339, 1.1397, 1.2053, 1.0575, 0.0591, 0.0868, 0.0277, 547.8803, 546.463, 547.2257, 257.93, 9.83, 18.68, fault, noground, noline, phase, phase
