@relation  saggedV+AngleChange+NegSeq

@attribute v_sag_1 numeric
@attribute delta_v numeric
@attribute sub_phase_2_1 numeric
@attribute sub_phase_3_2 numeric
@attribute class {ground, line, phase, nofault}
@data

0.0271, 0.3333, 0.742, 0.2287, ground
0.0049, 0.3317, 0.9945, 0.0048, ground
0.0276, 0.3241, 0.9654, 0.0002, ground
0.0329, 0.3224, 0.965, 0.0113, ground
0.0497, 0.3191, 1.0267, 0.0105, ground
0.0501, 0.3166, 0.9418, 0.0103, ground
0.0543, 0.3153, 0.9453, 0.0133, ground
0.0687, 0.3105, 0.9137, 0.0024, ground
0.069, 0.3104, 0.9134, 0.0023, ground
0.423, 0.3058, 0.0591, 0.0277, phase
0.0961, 0.3013, 0.8933, 0.0212, ground
0.426, 0.2787, 0.1041, 0.0841, phase
0.51, 0.2595, 0.0484, 0.0282, phase
0.5099, 0.2595, 0.0485, 0.0284, phase
0.2657, 0.2535, 0.8665, 0.0154, ground
0.2661, 0.2534, 0.8659, 0.0155, ground
0.3568, 0.2147, 0.6272, 0.0436, ground
0.3623, 0.2128, 0.6324, 0.0371, ground
0.3628, 0.2127, 0.6318, 0.0371, ground
0.3963, 0.2067, 0.6966, 0.0132, ground
0.3845, 0.2055, 0.6161, 0.0344, ground
0.3845, 0.2055, 0.6161, 0.0343, ground
0.3847, 0.2054, 0.6144, 0.0357, ground
0.3847, 0.2054, 0.6143, 0.0357, ground
0.4224, 0.2042, 0.6678, 0.0934, ground
0.4225, 0.2042, 0.6678, 0.0934, ground
0.423, 0.2041, 0.6673, 0.0934, ground
0.423, 0.2041, 0.6672, 0.0934, ground
0.401, 0.1998, 0.5891, 0.0319, ground
0.4015, 0.1997, 0.5886, 0.0318, ground
0.4247, 0.1925, 0.6072, 0.0065, ground
0.4785, 0.1742, 0.5316, 0.0208, ground
0.479, 0.174, 0.531, 0.021, ground
0.4891, 0.1705, 0.4927, 0.0342, ground
0.588, 0.17, 0.112, 0.2843, line
0.5886, 0.1697, 0.1119, 0.2837, line
0.5146, 0.1623, 0.4561, 0.0075, ground
0.5145, 0.1622, 0.4603, 0.0023, ground
0.525, 0.1583, 0.4731, 0.0059, ground
0.5251, 0.1583, 0.4729, 0.0061, ground
0.5337, 0.1555, 0.4529, 0.0104, ground
0.5338, 0.1555, 0.4527, 0.0103, ground
0.7158, 0.1541, 0.0198, 0.0131, phase
0.7159, 0.1541, 0.0197, 0.0132, phase
0.716, 0.154, 0.0202, 0.0126, phase
0.7159, 0.154, 0.0203, 0.0126, phase
0.5487, 0.1526, 0.4889, 0.029, ground
0.5487, 0.1526, 0.4889, 0.029, ground
0.5492, 0.1524, 0.4882, 0.0289, ground
0.5493, 0.1524, 0.4882, 0.0288, ground
0.7234, 0.1493, 0.0258, 0.0035, phase
0.7234, 0.1493, 0.0258, 0.0034, phase
0.7235, 0.1491, 0.0259, 0.004, phase
0.7236, 0.1491, 0.0258, 0.004, phase
0.5587, 0.1474, 0.4354, 0.035, ground
0.7281, 0.1471, 0.0197, 0.0128, phase
0.7281, 0.1471, 0.0197, 0.0128, phase
0.5735, 0.1438, 0.4535, 0.0328, ground
0.7419, 0.1425, 0.0124, 0.0095, phase
0.7419, 0.1425, 0.0125, 0.0095, phase
0.7419, 0.1425, 0.0125, 0.0095, phase
0.7419, 0.1425, 0.0125, 0.0095, phase
0.7359, 0.1424, 0.0249, 0.0036, phase
0.736, 0.1424, 0.0248, 0.0036, phase
0.5784, 0.1419, 0.4459, 0.0292, ground
0.5759, 0.1419, 0.3949, 0.0077, ground
0.5784, 0.1419, 0.4458, 0.0291, ground
0.5786, 0.1418, 0.4464, 0.0284, ground
0.5761, 0.1418, 0.3947, 0.0077, ground
0.7404, 0.1399, 0.0214, 0.0101, phase
0.7405, 0.1399, 0.0214, 0.0101, phase
0.7405, 0.1399, 0.0215, 0.01, phase
0.7405, 0.1399, 0.0215, 0.01, phase
0.5851, 0.139, 0.377, 0.0225, ground
0.5851, 0.139, 0.3771, 0.0224, ground
0.5856, 0.1388, 0.3765, 0.0224, ground
0.5856, 0.1388, 0.3765, 0.0224, ground
0.7452, 0.1368, 0.0239, 0.0067, phase
0.7452, 0.1368, 0.0239, 0.0067, phase
0.7456, 0.1368, 0.0233, 0.0069, phase
0.7456, 0.1367, 0.0233, 0.007, phase
0.5915, 0.1366, 0.3768, 0.0236, ground
0.5916, 0.1366, 0.3767, 0.0236, ground
0.6093, 0.1308, 0.3555, 0.0241, ground
0.6095, 0.1308, 0.3554, 0.0241, ground
0.7566, 0.1305, 0.0229, 0.0075, phase
0.7567, 0.1304, 0.023, 0.0074, phase
0.6314, 0.1241, 0.3196, 0.03, ground
0.6315, 0.1241, 0.3197, 0.0298, ground
0.6393, 0.1208, 0.3711, 0.0243, ground
0.6495, 0.1176, 0.3557, 0.0345, ground
0.6745, 0.1105, 0.3603, 0.0184, ground
0.6745, 0.1105, 0.3602, 0.0183, ground
0.6745, 0.1105, 0.3602, 0.0184, ground
0.6745, 0.1105, 0.3602, 0.0183, ground
0.6845, 0.1052, 0.3047, 0.0183, ground
0.6848, 0.1052, 0.3044, 0.0183, ground
0.6927, 0.1032, 0.2718, 0.0208, ground
0.6928, 0.1032, 0.2717, 0.0208, ground
0.6928, 0.1032, 0.2716, 0.021, ground
0.6929, 0.1032, 0.2715, 0.021, ground
0.6939, 0.1022, 0.2896, 0.0131, ground
0.6968, 0.1011, 0.296, 0.0105, ground
0.6968, 0.1011, 0.296, 0.0105, ground
0.7055, 0.0989, 0.308, 0.0209, ground
0.7136, 0.097, 0.3167, 0.0121, ground
0.7136, 0.097, 0.3167, 0.012, ground
0.7119, 0.0969, 0.256, 0.0119, ground
0.712, 0.0968, 0.2559, 0.0118, ground
0.7202, 0.0953, 0.2309, 0.0159, ground
0.7164, 0.0953, 0.2971, 0.0202, ground
0.7165, 0.0953, 0.2968, 0.0202, ground
0.7166, 0.0952, 0.2968, 0.0202, ground
0.7233, 0.0935, 0.2366, 0.0165, ground
0.7206, 0.0935, 0.2584, 0.0057, ground
0.7234, 0.0935, 0.2363, 0.0164, ground
0.7207, 0.0935, 0.2584, 0.0057, ground
0.7284, 0.0931, 0.3035, 0.0243, ground
0.7307, 0.09, 0.2672, 0.0202, ground
0.7308, 0.0899, 0.2672, 0.0201, ground
0.7367, 0.0893, 0.2254, 0.0054, ground
0.7369, 0.0893, 0.2254, 0.0052, ground
0.743, 0.0873, 0.2183, 0.0052, ground
0.7431, 0.0873, 0.2182, 0.0053, ground
0.7432, 0.0873, 0.2178, 0.0056, ground
0.7432, 0.0873, 0.2178, 0.0055, ground
0.7426, 0.0862, 0.2335, 0.0145, ground
0.7428, 0.0862, 0.2332, 0.0145, ground
0.7482, 0.085, 0.2645, 0.0258, ground
0.7531, 0.0839, 0.2639, 0.0281, ground
0.7531, 0.0839, 0.2639, 0.0281, ground
0.7532, 0.0838, 0.2638, 0.0281, ground
0.7532, 0.0838, 0.2638, 0.028, ground
0.7504, 0.0838, 0.2243, 0.0108, ground
0.7507, 0.0837, 0.2243, 0.0106, ground
0.7533, 0.0827, 0.2225, 0.0115, ground
0.7533, 0.0827, 0.2225, 0.0115, ground
0.7594, 0.0816, 0.2586, 0.0242, ground
0.7595, 0.0816, 0.2585, 0.0241, ground
0.7608, 0.0815, 0.2597, 0.0253, ground
0.7641, 0.079, 0.2161, 0.0095, ground
0.7642, 0.079, 0.2161, 0.0094, ground
0.7643, 0.0789, 0.2159, 0.0096, ground
0.7643, 0.0789, 0.2158, 0.0097, ground
0.7637, 0.0788, 0.2269, 0.0118, ground
0.8552, 0.0787, 0.0107, 0.0044, phase
0.8553, 0.0787, 0.0106, 0.0045, phase
0.8553, 0.0787, 0.0106, 0.0044, phase
0.8553, 0.0787, 0.0106, 0.0044, phase
0.7662, 0.0783, 0.2146, 0.0095, ground
0.7662, 0.0783, 0.2145, 0.0096, ground
0.861, 0.0778, 0.0027, 0.0079, phase
0.8609, 0.0778, 0.0027, 0.0079, phase
0.861, 0.0778, 0.0027, 0.0079, phase
0.8609, 0.0778, 0.0028, 0.0078, phase
0.7754, 0.0777, 0.1708, 0.0222, ground
0.7754, 0.0777, 0.1707, 0.0224, ground
